Timestamp,Pressure (bar),Voltage (V),Resistance (ohms)
2024-11-22 16:42:09,1.7,8.031787367999999e-06,0.01606354260891478
2024-11-22 16:43:47,1.8,7.956694961e-06,0.015913358095283808
2024-11-22 16:45:53,2.5,7.904372633e-06,0.0158087136485727
2024-11-22 16:47:32,3.1,7.977728827e-06,0.01595542574314851
2024-11-22 16:51:09,4.2,7.922400357e-06,0.01584476902446195
2024-11-22 16:53:59,5.2,7.932524342e-06,0.01586501695396609
2024-11-22 17:02:54,5.3,7.919408026e-06,0.015838784374431248
2024-11-22 17:04:48,6.0,7.908242078e-06,0.01581645252309495
2024-11-22 17:06:15,7.3,8.08724221e-06,0.016174452071095857
2024-11-22 17:07:26,8.4,7.982596119999999e-06,0.01596516030967938
2024-11-22 17:09:09,9.5,8.031418968000001e-06,0.01606280581038838
2024-11-22 17:10:10,10.5,7.976427587e-06,0.015952823268353462
2024-11-22 17:11:46,11.6,7.981281507e-06,0.01596253108893782
2024-11-22 17:13:07,13.3,8.112518681e-06,0.016225004911990176
2024-11-22 17:14:19,14.5,8.084637127999999e-06,0.01616924191751616
2024-11-22 17:16:53,16.3,8.108177471e-06,0.01621632250935498
2024-11-22 17:17:55,17.7,8.166993547999999e-06,0.01633395442809114
2024-11-22 17:19:22,20.3,8.180016679000001e-06,0.016360000637998726
2024-11-22 17:21:40,23.2,8.186017585e-06,0.01637200242599515
2024-11-22 17:22:30,25.2,8.169852673000001e-06,0.01633967266665467
2024-11-22 17:24:27,26.9,8.265443269e-06,0.016530853476293045
2024-11-22 17:25:13,30.5,8.354857367e-06,0.01670968131463737
2024-11-22 17:26:01,33.0,8.459023421e-06,0.016918013005973988
2024-11-22 17:27:18,40.0,8.596705852999998e-06,0.01719337731924536
2024-11-22 17:29:00,46.0,8.645238688e-06,0.017290442795114408
2024-11-22 17:30:33,53.0,8.901587560000001e-06,0.017803139513720975
2024-11-22 17:32:12,61.0,8.983134608e-06,0.017966233283533434
2024-11-22 17:33:44,69.4,9.169129192e-06,0.018338221707556585
2024-11-22 17:34:57,73.0,9.261652722e-06,0.018523268397463204
2024-11-22 17:36:54,80.9,9.574951139000002e-06,0.019149863978272046
2024-11-22 17:41:21,86.1,1.0009906293e-05,0.020019772546454904
2024-11-22 17:42:06,91.7,9.93644873e-06,0.019872857714284573
2024-11-22 17:43:18,96.1,1.015987266e-05,0.020319704680590637
2024-11-22 17:43:40,99.0,1.0201072748000001e-05,0.02040210469179062
2024-11-22 17:45:06,104.0,1.0204719891000001e-05,0.020409398963202076
2024-11-22 17:47:11,108.5,1.0287635375999997e-05,0.02057522960154079
2024-11-22 17:49:38,110.4,1.0086467743e-05,0.02017289514020972
2024-11-22 17:51:31,121.0,1.6989928309999999e-06,0.0033979788660422677
2024-11-22 17:52:04,128.0,1.615843231e-06,0.0032316799986400026
2024-11-22 17:53:05,129.5,1.6152966909999998e-06,0.0032305869208261576
2024-11-22 17:53:54,137.8,1.932812762e-06,0.003865617792764414
2024-11-22 17:56:17,142.9,3.586255366e-06,0.007172496387007225
2024-11-22 17:57:00,143.1,3.955261837e-06,0.007910507852984293
2024-11-22 17:57:30,154.5,4.054156814e-06,0.008108297411405178
2024-11-22 18:01:31,158.7,4.07273764e-06,0.008145458989082022
2024-11-22 18:04:25,160.9,4.048274578e-06,0.008096532962934073
2024-11-22 18:11:30,166.8,4.0508270909999995e-06,0.008101637978724041
2024-11-22 18:16:01,168.0,4.0017691630000004e-06,0.008003522318955363
2024-11-22 18:17:16,170.0,3.977892846e-06,0.007955769780460439
2024-11-22 18:17:53,172.0,3.995623553e-06,0.007991231123537753
2024-11-22 18:18:19,174.0,3.969545011999999e-06,0.007939074145851707
2024-11-22 18:18:47,176.0,3.982543233e-06,0.007965070535858928
2024-11-22 18:21:19,178.0,3.971404521e-06,0.007942793156413688
2024-11-22 18:21:59,180.0,3.973145422e-06,0.007946274951450097
2024-11-22 18:22:42,182.0,3.960774485e-06,0.007921533126933746
2024-11-22 18:23:05,184.0,3.9501391759999995e-06,0.007900262551474895
2024-11-22 18:23:27,186.0,3.951551801e-06,0.00790308779582441
2024-11-22 18:24:04,188.0,3.9372230920000005e-06,0.00787443043513913
2024-11-22 18:24:26,190.0,3.9373044560000005e-06,0.007874593162813675
2024-11-22 18:24:48,192.0,3.9346980849999995e-06,0.007869380431239137
2024-11-22 18:25:12,194.0,3.930828705e-06,0.007861641686716625
2024-11-22 18:25:45,196.0,3.916943211000001e-06,0.007833870754258492
2024-11-22 18:26:46,224.0,3.855353733e-06,0.007710692044615911
