Timestamp,Current (A),Voltage (V),Resistance (Ohm)
2024-12-23 18:44:54,-0.0005,-3.310690816e-06,0.006621394874789749
2024-12-23 18:44:57,-0.0004,-3.0496913380000003e-06,0.007624247405618515
2024-12-23 18:44:59,-0.00030000000000000003,-2.621980358e-06,0.008739963659878867
2024-12-23 18:45:02,-0.00020000000000000004,-2.2607074779999996e-06,0.011303593907969535
2024-12-23 18:45:04,-0.00010000000000000003,-1.7734739699999999e-06,0.017734917049170486
2024-12-23 18:45:06,-2.710505431213761e-20,-1.2083741219999999e-06,-1208.374122032753
2024-12-23 18:45:09,9.999999999999998e-05,-7.854313296e-07,-0.007854234753652465
2024-12-23 18:45:11,0.00019999999999999998,-2.3130699899999996e-07,-0.0011565292123539381
2024-12-23 18:45:14,0.0003,3.695728272e-07,0.0012319053176489414
2024-12-23 18:45:16,0.00039999999999999996,1.0111197746e-06,0.0025277931170172075
2024-12-23 18:45:19,0.0005,1.586663098e-06,0.0031733198493603012
