Timestamp,Current (A),Voltage (V),Resistance (Ohms)
2024-11-16 17:47:52,-0.0005,0.9220881866000001,-1844.1800615601235
2024-11-16 17:47:55,-0.0004,0.814671412,-2036.6836217090543
2024-11-16 17:47:57,-0.00030000000000000003,0.6711152556,-2237.058308861029
2024-11-16 17:47:59,-0.00020000000000000004,0.5143503998,-2571.7648578242884
2024-11-16 17:48:02,-0.00010000000000000003,0.33757051399999993,-3375.7388973889724
2024-11-16 17:48:05,-2.710505431213761e-20,0.11986465981999998,119864659.82324891
2024-11-16 17:48:08,9.999999999999998e-05,-0.15126328434,-1512.617717222828
2024-11-16 17:48:10,0.00019999999999999998,-0.3884799776,-1942.39017604912
2024-11-16 17:48:13,0.0003,-0.6306209008,-2102.0626624577917
2024-11-16 17:48:15,0.00039999999999999996,-0.788728452,-1971.8162004594988
2024-11-16 17:48:18,0.0005,-0.9059213570000001,-1811.8390903218194
