Timestamp,Load Pressure (bar),Voltage (V),Resistance (ohm)
2024-12-02 18:58:28,2.9,0.0007561181027000002,1.5122331809336385
2024-12-02 18:59:18,4.0,0.0008287816323,1.657559949480101
2024-12-02 19:02:43,3.0,0.000579210945,1.1584195731608538
2024-12-02 19:06:45,4.6,0.0005612047839,1.122407322985354
2024-12-02 19:07:30,5.6,0.0005428577508999999,1.085713330373339
2024-12-02 19:08:50,7.0,0.0005268331585,1.0536642096715807
2024-12-02 19:09:49,8.5,0.0004979178881999999,0.9958337847324303
2024-12-02 19:10:36,10.1,0.0004625516227,0.9251013951972096
2024-12-02 19:12:01,15.3,0.0003729422285000001,0.7458829652340697
2024-12-02 19:12:32,17.0,0.0003354592345,0.6709171271657457
2024-12-02 19:13:09,21.0,0.00028700663519999994,0.574012122375755
2024-12-02 19:13:56,25.0,0.0002560352707,0.5120695172609655
2024-12-02 19:15:11,30.0,0.00022979885880000002,0.4595967984064032
2024-12-02 19:29:40,36.0,0.0002684531257,0.5369051775896447
2024-12-02 19:30:13,41.0,0.00026281049899999994,0.5256199467601064
2024-12-02 19:31:09,47.0,0.00023292469890000002,0.4658484661030678
2024-12-02 19:32:58,55.0,0.00021515098929999996,0.43030111799776394
2024-12-02 19:33:25,60.0,0.0001675803662,0.3351600620798758
2024-12-02 19:34:08,63.0,0.0001665453997,0.3330901332197335
2024-12-02 19:35:02,70.0,0.0001815016857,0.36300264539470917
2024-12-02 19:36:51,77.0,0.00012994337370000002,0.25988622762754476
2024-12-02 19:38:17,86.0,0.00010582925159999998,0.2116580798838402
2024-12-02 19:44:30,93.0,8.553316913e-05,0.17106599612800774
2024-12-02 19:45:30,100.0,8.95746217e-05,0.1791488851022298
2024-12-02 19:47:29,110.0,5.754219552999999e-05,0.1150841608916782
2024-12-02 19:48:13,115.0,4.563462456e-05,0.09126906658186683
2024-12-02 19:49:35,133.0,3.3729190790000005e-05,0.06745824666350668
2024-12-02 19:51:06,140.0,3.8745283689999995e-05,0.07749041239917519
2024-12-02 19:52:01,148.0,3.8704637099999995e-05,0.07740911938176122
2024-12-02 19:54:32,157.0,1.528408003e-05,0.03056809892380215
2024-12-02 19:55:27,160.0,1.0313089769e-05,0.020626138285723426
2024-12-02 19:56:13,165.0,5.541445156999999e-06,0.0110828681482637
2024-12-02 19:57:00,170.0,4.374548875e-06,0.008749080251839495
2024-12-02 19:57:43,175.0,3.839534319999999e-06,0.007679053281893435
2024-12-02 19:58:27,180.0,3.4127845e-06,0.006825555348889302
2024-12-02 19:59:13,185.0,3.0569594330000002e-06,0.006113906638186724
2024-12-02 19:59:50,190.0,2.729812236e-06,0.005459613552772895
2024-12-02 20:00:40,195.0,2.5533322449999997e-06,0.005106654276691446
2024-12-02 20:01:28,200.0,2.316194566e-06,0.0046323798672402655
