Timestamp,Voltage (V),Resistance (ohm)
2025-01-27 17:10:53,9.389052910555558e-06,0.018778068264974586
2025-01-27 17:11:10,9.398606117222223e-06,0.018797174640095164
2025-01-27 17:11:27,9.383144880555557e-06,0.018766252228606655
2025-01-27 17:11:44,9.377138675e-06,0.018754239841520314
2025-01-27 17:12:01,9.386427168333335e-06,0.018772816791033087
2025-01-27 17:12:18,9.38386214e-06,0.018767686744626512
2025-01-27 17:12:36,9.379237940555555e-06,0.01875843836423438
2025-01-27 17:12:53,9.388831252777778e-06,0.018777624950305653
2025-01-27 17:13:10,9.384664249999999e-06,0.018769290961418075
2025-01-27 17:13:27,9.384306806111113e-06,0.018768576075070074
