Timestamp,Current (A),Voltage (V),Resistance (Ohms)
2024-11-08 16:42:26,-0.0005,-5.649291644,11298.60588521177
2024-11-08 16:42:29,-0.0004,-4.78259122,11956.507941269852
2024-11-08 16:42:31,-0.00030000000000000003,-3.879947284,12933.200724002412
2024-11-08 16:42:34,-0.00020000000000000004,-2.7759141339999998,13879.640068200337
2024-11-08 16:42:36,-0.00010000000000000003,-1.628980454,16289.96743967439
2024-11-08 16:42:39,-2.710505431213761e-20,-0.31808726919999997,-318087269.20862174
2024-11-08 16:42:42,9.999999999999998e-05,1.066692046,10666.813791862083
2024-11-08 16:42:45,0.00019999999999999998,2.697619978,13488.032449837754
2024-11-08 16:42:47,0.0003,4.313317092,14377.675714414287
2024-11-08 16:42:50,0.00039999999999999996,6.094693666,15236.696073259818
2024-11-08 16:42:52,0.0005,7.049232296,14098.436395127208
