Timestamp,Pressure (bar),Voltage (V),Resistance (ohms)
2024-11-08 16:44:10,1.0,4.83453667,9669.054001891996
2024-11-08 16:45:15,1.6,4.6308662275,9261.713931572138
2024-11-08 16:46:24,1.7,4.140900316250001,8281.784068931864
2024-11-08 16:47:34,1.9,3.998996335,7997.976674046652
2024-11-08 16:48:29,2.3,2.7855305425,5571.049942900114
2024-11-08 16:49:51,2.4,2.1502995425,4300.590483819032
2024-11-08 16:50:23,2.5,2.17926252,4358.5163229673535
2024-11-08 16:51:16,2.6,2.0768427112500003,4153.67711514577
2024-11-08 16:52:01,3.0,1.9481052325000001,3896.202672594655
2024-11-08 16:54:30,3.0,0.901573011125,1803.1424159651679
2024-11-08 16:56:53,3.4,0.8952462695,1790.4889580220838
2024-11-08 17:01:09,3.8,0.548116595375,1096.2309982880033
2024-11-08 17:02:26,3.9,0.49380503,987.6080847838303
2024-11-08 17:06:29,4.4,0.426292164125,852.5826230847538
2024-11-08 17:08:22,5.0,0.37452016199999993,749.038825922348
2024-11-08 17:10:34,5.2,0.35303574125000003,706.0700703598593
2024-11-08 17:12:08,6.0,0.33728189975,674.5624503750993
2024-11-08 17:15:24,7.5,0.329475993375,658.9506688486623
2024-11-08 17:16:39,8.0,0.28927594725,578.5507373985251
2024-11-08 17:16:55,8.8,0.265035228,530.0693958612082
2024-11-08 17:17:33,10.5,0.27019626150000003,540.3914422171156
2024-11-08 17:19:02,13.4,0.286215609125,572.4300733898532
2024-11-08 17:20:08,14.0,0.20261332262499998,405.22583479833037
2024-11-08 17:21:16,16.4,0.14849310500000001,296.98561602876794
2024-11-08 17:22:38,20.5,0.14577862500000002,291.5566668866663
2024-11-08 17:24:53,25.5,0.1550727437,310.14486711026575
2024-11-08 17:30:30,23.0,0.400402206125,800.8028106443786
2024-11-08 17:31:59,27.0,0.141151077375,282.30159014681965
2024-11-08 17:34:04,31.5,0.2174529751,434.9050803898392
2024-11-08 17:35:00,35.0,0.1554171325375,310.83364340771317
2024-11-08 17:39:53,35.5,0.283155144625,566.3091566316867
2024-11-08 17:43:28,46.0,0.317310588625,634.619908010184
2024-11-08 17:46:44,50.0,0.0722005725125,144.40085622328755
2024-11-08 17:47:17,56.0,0.089681518875,179.36267902464195
2024-11-08 17:48:55,60.0,0.08046054924999999,160.92077665844664
2024-11-08 17:50:33,70.0,0.0768517824,153.70325739348522
2024-11-08 17:51:31,72.0,0.076827357475,153.6544076411847
2024-11-08 17:52:00,78.0,0.07564991137499999,151.29952015095967
2024-11-08 17:53:23,81.0,0.0646239417375,129.24762497975001
2024-11-08 17:54:26,85.0,0.0625891417125,125.17803306893387
2024-11-08 17:55:21,91.0,0.0568166860375,113.63314480871038
2024-11-08 17:56:37,104.0,0.0546269383125,109.25365811768376
2024-11-08 17:58:44,114.0,0.11074700325,221.49356351287298
2024-11-08 18:02:05,116.0,0.09595052607499999,191.90066834866326
2024-11-08 18:02:37,127.0,0.0945903142875,189.18025021449958
2024-11-08 18:04:12,135.0,0.08741440436249999,174.82845906808183
2024-11-08 18:05:59,145.0,0.0781461775125,156.2920424409151
