Timestamp,Current (A),Voltage (V),Resistance (Ohms)
2024-11-14 17:48:00,-0.001,-0.07084570324,70.84577408577408
2024-11-14 17:48:02,-0.0008,-0.10508912434000002,131.36156962696205
2024-11-14 17:48:05,-0.0006000000000000001,-0.10832570999999999,180.54315090525148
2024-11-14 17:48:07,-0.0004000000000000001,-0.09564721792,239.11864259660646
2024-11-14 17:48:10,-0.00020000000000000006,-0.06939974756,347.0004728023639
2024-11-14 17:48:12,-5.421010862427522e-20,-0.026165173379999997,-26165173.38141841
2024-11-14 17:48:15,0.00019999999999999996,0.034450198779999996,172.2501326493368
2024-11-14 17:48:17,0.00039999999999999996,0.07679700279999999,191.99202701993244
2024-11-14 17:48:20,0.0006,0.12375107839999999,206.2514535809107
2024-11-14 17:48:23,0.0007999999999999999,0.1885908886,235.73831607710494
2024-11-14 17:48:25,0.001,0.25974907480000003,259.748815051185
