Timestamp,Load Pressure (bar),Voltage (V),Resistance (ohm),IV Positive Resistance (ohm),IV Negative Resistance (ohm)
2024-12-24 15:13:35,1.0,1.6115791126999998e-05,0.03223151779096441,0.13807386726069837,-0.1142359483427394
2024-12-24 15:21:11,1.7,1.066650074e-05,0.02133295881408237,0.051146829017883554,-0.04504319059224736
2024-12-24 15:23:33,2.9,8.225984120000001e-06,0.01645193533612933,0.039276071923906454,-0.03449171885333336
2024-12-24 15:26:00,3.3,5.7952432775e-06,0.011590463374073252,0.02810033516712409,-0.02469788403626276
2024-12-24 15:28:30,4.2,5.546922062499999e-06,0.011093821937356124,0.027161025788459157,-0.023830445442672772
2024-12-24 15:33:14,3.6,5.4097925425e-06,0.010819563445873107,0.026872594661861267,-0.023646218721783813
2024-12-24 15:47:37,4.4,5.096925225e-06,0.010193830062339874,0.02579749324045114,-0.02261508083893509
2024-12-24 15:52:32,5.1,5.049451688e-06,0.010098883178233643,0.02607097807699486,-0.02286191355360532
2024-12-24 15:58:58,6.1,4.983690046500001e-06,0.009967360158279684,0.0253487871548473,-0.022246978878126846
2024-12-24 16:00:58,7.0,4.9440733055e-06,0.00988812683474633,0.024988188273653008,-0.021885293237775494
2024-12-24 16:50:59,8.2,4.806828509499999e-06,0.009613637791724413,0.023634595580988935,-0.020828672007557666
2024-12-24 16:52:30,10.2,4.808294279e-06,0.00961656932486135,0.02420403992606236,-0.021391139495109526
2024-12-24 16:57:55,13.5,4.796044368999999e-06,0.00959206955386089,0.023323191273613084,-0.01925270237976347
2024-12-24 17:00:05,18.0,4.816573312999999e-06,0.009633127359745279,0.021264967639920352,-0.019083807572538348
2024-12-24 17:04:56,24.0,4.7858717129999996e-06,0.009571724282551434,0.02108928919646252,-0.018935595057396615
2024-12-24 17:13:09,32.0,4.7730103915e-06,0.009546001690996618,0.020947806518093918,-0.01867628515620913
2024-12-24 17:18:23,44.0,4.8193823295e-06,0.009638745381509236,0.02092208045760602,-0.018489979406055453
2024-12-24 17:21:24,50.0,4.7334730025e-06,0.009466927071145857,0.02007918567148104,-0.01752682255873879
2024-12-24 17:27:40,65.0,4.843440613e-06,0.009686861852276294,0.019208939320803642,-0.016889571039525278
2024-12-24 17:33:32,74.0,4.8813595135e-06,0.009762699501600997,0.021133620199367747,-0.01857592520341094
2024-12-24 17:39:51,97.0,5.27777521e-06,0.010555529308941382,0.021423029638248145,-0.01931447496089083
2024-12-24 17:45:15,110.0,5.4619686105e-06,0.010923915373169253,0.022916971866124146,-0.019643584219739836
2024-12-24 17:47:03,114.0,5.5991306659999995e-06,0.011198238935522128,0.023555413696409202,-0.02070618081511561
2024-12-24 17:49:33,120.0,5.666406278e-06,0.011332789890420218,0.023177933524976477,-0.02134500276234384
2024-12-24 17:50:40,128.0,5.741929443e-06,0.011483835918328163,0.024508659347510217,-0.021480521234411264
2024-12-24 17:53:25,134.0,5.952507173e-06,0.011904990536018928,0.025433805308372474,-0.02228959306647072
2024-12-24 17:58:10,141.0,5.944687259999999e-06,0.011889350741298516,0.024849163764972718,-0.02188036166300317
2024-12-24 18:00:54,149.0,5.7461793365e-06,0.011492335688328623,0.02359379404790012,-0.02115949786784469
2024-12-24 18:02:25,157.0,2.33694611e-06,0.004673882872234256,0.009298095143931978,-0.008377206879615623
2024-12-24 18:04:00,160.0,2.0603048439999998e-06,0.004120601446797106,0.008048274074920099,-0.006815295483423418
2024-12-24 18:05:56,166.0,1.3782207472999998e-06,0.002756435981728036,0.004800120091283188,-0.004266748732981908
2024-12-24 18:07:05,170.0,1.2847084271e-06,0.002569411715376569,0.00422400421631078,-0.003837414061607758
2024-12-24 18:09:11,178.0,1.20958034025e-06,0.0024191558421883153,0.0037380233649844594,-0.00359213638613205
2024-12-24 18:18:29,185.0,1.3103602454499999e-06,0.0026207152494695006,0.003997930202681931,-0.0036846884634218506
2024-12-24 18:20:30,190.0,1.2380480485999999e-06,0.00247609114501771,0.003893326142911092,-0.0034520763594637184
2024-12-24 18:21:37,195.0,1.2427111614999999e-06,0.0024854173521652954,0.0037453501785679223,-0.0033667893486822387
2024-12-24 18:22:38,200.0,1.2427059867500001e-06,0.002485407002685995,0.0037559082255147775,-0.0033593625868990214
2024-12-24 18:23:50,205.0,1.2932966561999998e-06,0.002586588139223721,0.00432746464167927,-0.0038596881341792936
2024-12-24 18:24:47,210.0,1.5035368956499997e-06,0.0030070677771644448,0.005401321434855847,-0.004630281395606126
2024-12-24 18:25:43,215.0,1.804142175e-06,0.0036082771334457328,0.006713135652908506,-0.00588837226755983
2024-12-24 18:26:45,220.0,2.118390761e-06,0.004236773048453903,0.008185983015627406,-0.007172482659680487
