Timestamp,Voltage (V),Resistance (ohm)
2024-12-06 17:01:03,2.3087822029999997e-06,0.004617555170889657
2024-12-06 17:02:18,2.3161688959999998e-06,0.004632328527342944
2024-12-06 17:03:32,2.301456913e-06,0.0046029046201907595
2024-12-06 17:04:47,2.3126498059999997e-06,0.004625290361419276
2024-12-06 17:06:02,2.3074203980000002e-06,0.004614831566336868
2024-12-06 17:07:16,2.3069979630000004e-06,0.004613986698026605
2024-12-06 17:08:31,2.3169540359999997e-06,0.0046338988042023905
2024-12-06 17:09:45,2.3117316310000003e-06,0.00462345401509197
2024-12-06 17:11:00,2.314258708e-06,0.004628508158983682
2024-12-06 17:12:15,2.3017543269999997e-06,0.004603499447001105
2024-12-06 17:13:29,2.314051081e-06,0.004628092905814188
2024-12-06 17:14:44,2.3157743670000002e-06,0.004631539470921059
2024-12-06 17:15:59,2.301981064e-06,0.004603952920094159
2024-12-06 17:17:13,2.313803958e-06,0.004627598660802678
2024-12-06 17:18:28,2.3117001660000002e-06,0.0046233910852178295
2024-12-06 17:19:43,2.316374601e-06,0.0046327399365201265
2024-12-06 17:20:57,2.313156876e-06,0.004626304499391001
2024-12-06 17:22:12,2.315540114e-06,0.004631070965858068
2024-12-06 17:23:26,2.312165433e-06,0.0046243216173567645
2024-12-06 17:24:41,2.3092455009999996e-06,0.004618481765036469
2024-12-06 17:25:56,2.3109054620000003e-06,0.004621801680396639
2024-12-06 17:27:10,2.310430629e-06,0.004620852016295967
2024-12-06 17:28:25,2.3148365e-06,0.004629663740672519
2024-12-06 17:29:40,2.3119997320000004e-06,0.004623990216019568
2024-12-06 17:30:54,2.304293606e-06,0.00460857799484401
2024-12-06 17:32:09,2.309721026e-06,0.004619432813134373
2024-12-06 17:33:24,2.312318786e-06,0.004624628322743354
2024-12-06 17:34:38,2.316435139e-06,0.004632861012277975
2024-12-06 17:35:53,2.309831722e-06,0.00461965420469159
2024-12-06 17:37:08,2.315423716e-06,0.004630838170323659
2024-12-06 17:38:22,2.3100082460000004e-06,0.0046200072519854965
2024-12-06 17:39:37,2.307273675e-06,0.004614538120923758
2024-12-06 17:40:52,2.30892588e-06,0.004617842524314951
2024-12-06 17:42:06,2.313258082e-06,0.004626506910986178
2024-12-06 17:43:21,2.3079764969999995e-06,0.004615943762112475
2024-12-06 17:44:36,2.3047171830000003e-06,0.004609425147149706
2024-12-06 17:45:50,2.311773831e-06,0.00462353841492317
2024-12-06 17:47:05,2.3150042050000006e-06,0.004629999150001701
2024-12-06 17:48:20,2.309164242e-06,0.004618319247361505
2024-12-06 17:49:35,2.352884616e-06,0.0047057598204803585
2024-12-06 17:50:49,2.338782748e-06,0.004677556140887718
2024-12-06 17:52:04,2.3276188720000002e-06,0.004655228433543133
