Timestamp,Current (A),Voltage (V),Resistance (Ohm)
2024-12-06 15:19:17,-0.0005,-6.197532352e-06,0.01239508949417899
2024-12-06 15:19:20,-0.0004,-5.2651386059999994e-06,0.013162879422198554
2024-12-06 15:19:22,-0.00030000000000000003,-4.293232588e-06,0.014310822996076653
2024-12-06 15:19:25,-0.00020000000000000004,-3.350892746e-06,0.01675454750273751
2024-12-06 15:19:27,-0.00010000000000000003,-2.396318926e-06,0.023963428894288936
2024-12-06 15:19:30,-2.710505431213761e-20,-1.4971652320000001e-06,-1497.1652320405808
2024-12-06 15:19:32,9.999999999999998e-05,-4.997573010000001e-07,-0.004997523034769654
2024-12-06 15:19:35,0.00019999999999999998,4.185500432e-07,0.002092739752301239
2024-12-06 15:19:37,0.0003,1.425249242e-06,0.004750814970616765
2024-12-06 15:19:39,0.00039999999999999996,2.373103548e-06,0.005932744038139905
2024-12-06 15:19:42,0.0005,3.327849262e-06,0.006655685212629574
