Timestamp,Current (A),Voltage (V),Resistance (Ohm)
2024-12-06 15:58:29,-0.0005,-5.326061574e-06,0.010652144452288905
2024-12-06 15:58:31,-0.0004,-4.44523722e-06,0.011113120832802083
2024-12-06 15:58:33,-0.00030000000000000003,-3.5077971079999998e-06,0.011692696002320006
2024-12-06 15:58:36,-0.00020000000000000004,-2.660500686e-06,0.01330256994284971
2024-12-06 15:58:38,-0.00010000000000000003,-1.710041412e-06,0.017100585125851255
2024-12-06 15:58:41,-2.710505431213761e-20,-8.975521034000001e-07,-897.5521034243283
2024-12-06 15:58:43,9.999999999999998e-05,8.346699649000001e-08,0.0008346616182838175
2024-12-06 15:58:46,0.00019999999999999998,9.447369872e-07,0.004723661317693412
2024-12-06 15:58:48,0.0003,1.88263689e-06,0.006275435381882061
2024-12-06 15:58:51,0.00039999999999999996,2.776424722e-06,0.006941044452388869
2024-12-06 15:58:53,0.0005,3.6641047899999996e-06,0.007328194923610152
