Timestamp,Current (A),Voltage (V),Resistance (Ohms)
2024-11-21 16:05:01,-0.0005,-1.370090306e-05,0.02740186092372185
2024-11-21 16:05:04,-0.0004,-1.108785052e-05,0.027719695599238998
2024-11-21 16:05:06,-0.00030000000000000003,-8.482431852000001e-06,0.028274867089556968
2024-11-21 16:05:08,-0.00020000000000000004,-5.859682298e-06,0.029298557982789908
2024-11-21 16:05:11,-0.00010000000000000003,-3.2787538340000003e-06,0.03278786621866218
2024-11-21 16:05:13,-2.710505431213761e-20,-6.870567521999999e-07,-687.0567522186226
2024-11-21 16:05:16,9.999999999999998e-05,1.7217886620000001e-06,0.017217714442855577
2024-11-21 16:05:18,0.00019999999999999998,4.316741134e-06,0.021583597752011244
2024-11-21 16:05:21,0.0003,7.0889668380000004e-06,0.023629810693964356
2024-11-21 16:05:23,0.00039999999999999996,9.683814401999999e-06,0.024209475481311294
2024-11-21 16:05:26,0.0005,1.228177784e-05,0.024563506552986895
